X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g
10000000,5.3817371,6.4,1690,5.77573964,5.86184490,0.00000000,0.00310190,0.00284599,0.00284599
10000000,6.4,7.6109255,1439,6.92981237,6.97659419,0.00000000,0.00097818,0.00093348,0.00093348
10000000,7.6109255,8,365,7.89041096,7.80174084,0.00000000,0.00037432,0.00040902,0.00040902
100000000,0.2,0.23784142,268189,0.17308316,0.21786146,0.82987371,0.84106767,0.80423686,-0.02563685
100000000,0.23784142,0.28284271,227767,0.29482322,0.25908111,0.72292299,0.74466322,0.77176042,0.04883743
100000000,0.28284271,0.33635857,193513,0.29757174,0.30810394,0.72050457,0.74261931,0.73483893,0.01433437
100000000,0.33635857,0.4,164449,0.30136395,0.36637150,0.71746864,0.73980847,0.69324521,-0.02422343
100000000,0.4,0.47568285,139760,0.32784774,0.43571502,0.69714511,0.72047271,0.64680202,-0.05034308
100000000,0.47568285,0.56568542,118849,0.45027724,0.51817520,0.60389233,0.63745140,0.59560642,-0.00828591
100000000,0.56568542,0.67271713,100904,0.62650638,0.61625555,0.49347895,0.53445573,0.53996252,0.04648357
100000000,0.67271713,0.8,85751,0.65367168,0.73278906,0.47535306,0.52013251,0.48056679,0.00521373
100000000,0.8,0.95136569,73001,0.84894727,0.87140418,0.37947425,0.42786512,0.41836368,0.03888942
100000000,0.95136569,1.1313708,61963,0.98623372,1.03629968,0.32023950,0.37297879,0.35476500,0.03452550
100000000,1.1313708,1.3454343,52809,1.21604272,1.23231746,0.24520442,0.29640079,0.29161599,0.04641157
100000000,1.3454343,1.6,44899,1.41268180,1.46576464,0.19350097,0.24348942,0.23090137,0.03740040
100000000,1.6,1.9027314,38119,1.72260552,1.74320515,0.12954170,0.17860019,0.17495873,0.04541703
100000000,1.9027314,2.2627417,32476,2.01028452,2.07288414,0.09299175,0.13395056,0.12582237,0.03283062
100000000,2.2627417,2.6908685,27580,2.41537346,2.46495872,0.05493111,0.08933397,0.08501235,0.03008124
100000000,2.6908685,3.2,23531,2.87306107,2.93155839,0.03008797,0.05652563,0.05331389,0.02322592
100000000,3.2,3.8054628,19932,3.46051575,3.48519238,0.01555288,0.03141356,0.03064786,0.01509498
100000000,3.8054628,4.5254834,17047,4.09239162,4.14414196,0.00615944,0.01669925,0.01585704,0.00969759
100000000,4.5254834,5.3817371,14537,4.88168123,4.92992608,0.00261402,0.00758425,0.00722704,0.00461302
100000000,5.3817371,6.4,12304,5.79933355,5.86287666,0.00105657,0.00302957,0.00284305,0.00178649
100000000,6.4,7.6109255,10543,6.95731765,6.97347614,0.00037940,0.00095165,0.00093639,0.00055699
100000000,7.6109255,8,2708,7.72932053,7.80436047,0.00036928,0.00043974,0.00040795,0.00003868
1000000000,0.2,0.23784142,2099527,0.24632882,0.21785692,0.76614495,0.78166516,0.80424050,0.03809556
1000000000,0.23784142,0.28284271,1780523,0.26251556,0.25907524,0.75164376,0.76911439,0.77176495,0.02012119
1000000000,0.28284271,0.33635857,1512066,0.26462800,0.30809058,0.74990906,0.76749140,0.73484875,-0.01506031
1000000000,0.33635857,0.4,1282570,0.26688056,0.36639200,0.74780792,0.76576453,0.69323100,-0.05457692
1000000000,0.4,0.47568285,1088832,0.38399496,0.43571577,0.65531046,0.68113486,0.64680154,-0.00850892
1000000000,0.47568285,0.56568542,924357,0.50189267,0.51816319,0.57449665,0.60538378,0.59561357,0.02111692
1000000000,0.56568542,0.67271713,784141,0.57613873,0.61620313,0.52518616,0.56206446,0.53999082,0.01480466
1000000000,0.67271713,0.8,666189,0.68236491,0.73278977,0.46493563,0.50542030,0.48056645,0.01563082
1000000000,0.8,0.95136569,565321,0.85547326,0.87142611,0.37913504,0.42508197,0.41835450,0.03921946
1000000000,0.95136569,1.1313708,480256,0.98523288,1.03633620,0.32800007,0.37335227,0.35475205,0.02675198
1000000000,1.1313708,1.3454343,407807,1.21122492,1.23245360,0.25082453,0.29783224,0.29157629,0.04075176
1000000000,1.3454343,1.6,346142,1.44989340,1.46559907,0.18806444,0.23459530,0.23093960,0.04287517
1000000000,1.6,1.9027314,294129,1.69913881,1.74290188,0.13953401,0.18284092,0.17501180,0.03547779
1000000000,1.9027314,2.2627417,249937,2.02316984,2.07268500,0.09482790,0.13223563,0.12584743,0.03101953
1000000000,2.2627417,2.6908685,212140,2.43537287,2.46489853,0.05758461,0.08756509,0.08501747,0.02743285
1000000000,2.6908685,3.2,180345,2.89654828,2.93117129,0.03229920,0.05521347,0.05333453,0.02103533
1000000000,3.2,3.8054628,153254,3.44311405,3.48571827,0.01672387,0.03196499,0.03063175,0.01390788
1000000000,3.8054628,4.5254834,130194,4.12078130,4.14550627,0.00737361,0.01623183,0.01583542,0.00846181
1000000000,4.5254834,5.3817371,110692,4.86556391,4.92948495,0.00308965,0.00770748,0.00723023,0.00414057
1000000000,5.3817371,6.4,94040,5.83923862,5.86234175,0.00096767,0.00291106,0.00284457,0.00187690
1000000000,6.4,7.6109255,80054,6.93900367,6.97211581,0.00023734,0.00096923,0.00093767,0.00070033
1000000000,7.6109255,8,20641,7.75156242,7.80199197,0.00000000,0.00043007,0.00040892,0.00040892
10000000000,0.2,0.23784142,16868926,0.23475110,0.21785321,0.77651411,0.79076764,0.80424349,0.02772938
10000000000,0.23784142,0.28284271,14298883,0.23644749,0.25907433,0.77502166,0.78942733,0.77176566,-0.00325600
10000000000,0.28284271,0.33635857,12123507,0.23837739,0.30809311,0.77324985,0.78790528,0.73484689,-0.03840296
10000000000,0.33635857,0.4,10278614,0.30043788,0.36638636,0.72284824,0.74049390,0.69323491,-0.02961332
10000000000,0.4,0.47568285,8715582,0.39454118,0.43571517,0.65074576,0.67398921,0.64680193,-0.00394383
10000000000,0.47568285,0.56568542,7389981,0.51446262,0.51815264,0.56701255,0.59782176,0.59561985,0.02860730
10000000000,0.56568542,0.67271713,6267166,0.55967546,0.61618808,0.53941734,0.57139448,0.53999895,0.00058161
10000000000,0.67271713,0.8,5315405,0.72096087,0.73278165,0.44816886,0.48628478,0.48057035,0.03240149
10000000000,0.8,0.95136569,4507604,0.81883879,0.87141870,0.40152152,0.44094339,0.41835760,0.01683608
10000000000,0.95136569,1.1313708,3824099,1.02948459,1.03630143,0.31491706,0.35719101,0.35476438,0.03984732
10000000000,1.1313708,1.3454343,3244020,1.20956067,1.23238839,0.25632549,0.29832832,0.29159530,0.03526982
10000000000,1.3454343,1.6,2751380,1.43383320,1.46556769,0.19648794,0.23839336,0.23094685,0.03445890
10000000000,1.6,1.9027314,2334699,1.70083296,1.74286029,0.14393162,0.18253142,0.17501908,0.03108746
10000000000,1.9027314,2.2627417,1981035,2.02913578,2.07260352,0.09754346,0.13144907,0.12585768,0.02831423
10000000000,2.2627417,2.6908685,1680826,2.44612827,2.46482748,0.06002703,0.08662834,0.08502351,0.02499648
10000000000,2.6908685,3.2,1426488,2.88013920,2.93114104,0.03550538,0.05612695,0.05333614,0.01783076
10000000000,3.2,3.8054628,1210658,3.46802978,3.48576994,0.01760282,0.03117840,0.03063017,0.01302734
10000000000,3.8054628,4.5254834,1027447,4.09586577,4.14539951,0.00826807,0.01664133,0.01583711,0.00756904
10000000000,4.5254834,5.3817371,872078,4.89987937,4.92953937,0.00312013,0.00744748,0.00722983,0.00410970
10000000000,5.3817371,6.4,740402,5.81854182,5.86234060,0.00103457,0.00297194,0.00284458,0.00181000
10000000000,6.4,7.6109255,628670,6.94513338,6.97145890,0.00025610,0.00096331,0.00093828,0.00068219
10000000000,7.6109255,8,162567,7.76465088,7.80237722,0.00007382,0.00042448,0.00040876,0.00033495
20000000000,0.2,0.23784142,31723099,0.22818628,0.21785350,0.78247251,0.79597597,0.80424325,0.02177074
20000000000,0.23784142,0.28284271,26887221,0.22976484,0.25907289,0.78103520,0.79472047,0.77176677,-0.00926843
20000000000,0.28284271,0.33635857,22786896,0.23150485,0.30809166,0.77945311,0.79333885,0.73484796,-0.04460515
20000000000,0.33635857,0.4,19318188,0.31215686,0.36638526,0.71362185,0.73186672,0.69323567,-0.02038617
20000000000,0.4,0.47568285,16374016,0.40916101,0.43570968,0.64125734,0.66420728,0.64680548,0.00554814
20000000000,0.47568285,0.56568542,13880594,0.49939858,0.51814781,0.57753753,0.60689555,0.59562273,0.01808520
20000000000,0.56568542,0.67271713,11769442,0.56671693,0.61618291,0.53583228,0.56738515,0.54000174,0.00416946
20000000000,0.67271713,0.8,9977673,0.72052612,0.73276782,0.44969163,0.48649623,0.48057700,0.03088537
20000000000,0.8,0.95136569,8461515,0.82044728,0.87141485,0.40174862,0.44023470,0.41835921,0.01661059
20000000000,0.95136569,1.1313708,7175408,1.02350278,1.03630776,0.31807850,0.35933407,0.35476213,0.03668364
20000000000,1.1313708,1.3454343,6083826,1.22168122,1.23239001,0.25304668,0.29473424,0.29159483,0.03854815
20000000000,1.3454343,1.6,5160298,1.43246398,1.46556112,0.19825715,0.23872000,0.23094836,0.03269121
20000000000,1.6,1.9027314,4376336,1.69980390,1.74284275,0.14547786,0.18271935,0.17502215,0.02954429
20000000000,1.9027314,2.2627417,3712406,2.03444505,2.07259392,0.09842269,0.13075302,0.12585889,0.02743620
20000000000,2.2627417,2.6908685,3149495,2.44710977,2.46473906,0.06050653,0.08654336,0.08503103,0.02452450
20000000000,2.6908685,3.2,2671549,2.88992940,2.93111774,0.03598774,0.05558014,0.05333739,0.01734965
20000000000,3.2,3.8054628,2266916,3.45808667,3.48572305,0.01811712,0.03148996,0.03063160,0.01251448
20000000000,3.8054628,4.5254834,1923019,4.10597607,4.14517709,0.00837329,0.01647393,0.01584063,0.00746734
20000000000,4.5254834,5.3817371,1632217,4.90028164,4.92956083,0.00324773,0.00744449,0.00722968,0.00398195
20000000000,5.3817371,6.4,1385028,5.82303968,5.86223295,0.00105991,0.00295860,0.00284488,0.00178498
20000000000,6.4,7.6109255,1175463,6.93667942,6.97147476,0.00030031,0.00097149,0.00093827,0.00063796
20000000000,7.6109255,8,303646,7.76567121,7.80231837,0.00007245,0.00042404,0.00040879,0.00033633
